Beijingnese,Beijing Pin Yin,Type,Example,,Chin Def,,Eng Def
您搁哪儿呢 ,nín gé nǎr ne,形容词,您搁哪儿呢？我都到门口了。,,您在哪儿呢？,,Where are you?
瓷儿,cír,名次,咱俩这么多年老瓷儿了，还跟我客气什么。,,朋友、哥们儿、关系很铁的人,,"Close friend, bro"
甭 ,béng,感叹词,甭管他。,,不用、不要（表示劝阻或否定）,,Don't mind them
麻溜儿地,má liūr de,形容词,现在麻溜儿地把活儿干完，咱早点走。,,赶紧、快点、动作麻利地,,As soon as possible; make it snappy
